,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Real Rich (feat. Gucci Mane),0.945,0.456,9,-9.044,1,0.134,0.0297,0.0,0.112,0.237,125.01,123120,2018
OUT WEST (feat. Young Thug),0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,2019
GATTI,0.594,0.676,2,-5.808,1,0.344,0.135,0.0,0.163,0.472,143.477,181145,2019
WHAT TO DO? (feat. Don Toliver),0.643,0.594,9,-5.191,0,0.0312,0.0695,1.46e-05,0.115,0.195,118.037,250142,2019
HAD ENOUGH (feat. Quavo & Offset),0.75,0.789,2,-4.578,1,0.108,0.253,0.0,0.129,0.673,147.957,157133,2019
GANG GANG,0.859,0.6,7,-4.63,0,0.301,0.071,0.0,0.353,0.568,123.017,244761,2019
JACKBOYS,0.413,0.13,0,-25.166,0,0.0336,0.9,0.82,0.111,0.0676,123.342,46837,2019
A.M.,0.74,0.761,0,-4.753,0,0.0851,0.0691,0.0,0.142,0.453,146.144,164935,2019
Death,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,172196,2019
Drug Addicts,0.933,0.488,1,-9.327,0,0.149,0.0106,0.00107,0.0958,0.21,142.064,175775,2019
TATI,0.779,0.767,11,-5.462,0,0.258,0.00214,0.0,0.102,0.523,91.981,154565,2018
Intro,0.603,0.663,2,-7.804,1,0.163,1.25e-05,0.0235,0.292,0.641,78.141,190800,2000
DANGEROUS,0.744,0.605,8,-7.594,1,0.108,0.225,0.0,0.0822,0.695,100.017,140000,2019
The Box,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,2019
